test_case,run_time,fw_version,sw_version,test_item,TPS,%99 latency,Read throughput (MB/s),Write throughput (MB/s),avgrq-sz,avgqu-sz,%user cpu,%sys cpu,%iowait cpu
sb-600g-FF100,10/30/2019 21:05,4375,48663,read_only,"7,639 ",13 ,"2,707 ",0 ,36 ,48 ,50 ,31 ,18 
sb-600g-FF100,10/30/2019 22:05,4375,48663,update_non_index,"30,085 ",8 ,673 ,801 ,30 ,22 ,58 ,17 ,6 
sb-600g-FF100,10/30/2019 23:05,4375,48663,update_index,"23,542 ",9 ,578 ,845 ,30 ,22 ,60 ,16 ,5 
sb-600g-FF100,10/31/2019 0:05,4375,48663,point_select,"187,927 ",1 ,"2,760 ",0 ,35 ,64 ,31 ,37 ,30 
sb-600g-FF100,11/18/2019 7:19,4375,48663,read_write,"3,626 ",30 ,"1,788 ",551 ,32 ,31 ,62 ,26 ,9 
sb-600g-FF100,10/31/2019 1:04,4375,48663,write_only,"8,737 ",19 ,632 ,866 ,30 ,26 ,65 ,18 ,5 
sb-600G-FF75,10/31/2019 7:47,4375,48663,read_only,"6,163 ",15 ,"2,800 ",0 ,40 ,64 ,38 ,27 ,33 
sb-600G-FF75,10/31/2019 8:46,4375,48663,update_non_index,"61,380 ",3 ,"1,054 ",661 ,29 ,20 ,50 ,25 ,8 
sb-600G-FF75,10/31/2019 9:45,4375,48663,update_index,"22,623 ",9 ,476 ,770 ,28 ,15 ,63 ,14 ,5 
sb-600G-FF75,10/31/2019 10:45,4375,48663,point_select,"186,534 ",1 ,"2,733 ",0 ,34 ,56 ,32 ,38 ,29 
sb-600G-FF75,11/18/2019 10:30,4375,48663,read_write,"3,929 ",26 ,"2,230 ",426 ,34 ,35 ,59 ,28 ,11 
sb-600G-FF75,10/31/2019 11:44,4375,48663,write_only,"9,805 ",16 ,630 ,789 ,29 ,18 ,67 ,18 ,5 
sb-2t-FF100,11/3/2019 5:18,4375,48663,read_only,"4,775 ",18 ,"2,801 ",1 ,37 ,72 ,29 ,24 ,44 
sb-2t-FF100,11/3/2019 6:36,4375,48663,update_non_index,"19,888 ",11 ,754 ,808 ,31 ,28 ,59 ,17 ,8 
sb-2t-FF100,11/3/2019 7:54,4375,48663,update_index,"18,693 ",11 ,743 ,818 ,31 ,29 ,60 ,16 ,8 
sb-2t-FF100,11/3/2019 9:12,4375,48663,point_select,"166,201 ",1 ,"2,619 ",0 ,25 ,57 ,30 ,40 ,28 
sb-2t-FF100,11/3/2019 10:32,4375,48663,read_write,"2,904 ",34 ,"2,215 ",494 ,36 ,45 ,55 ,26 ,16 
sb-2t-FF100,11/3/2019 11:51,4375,48663,write_only,"6,611 ",22 ,775 ,834 ,31 ,31 ,64 ,18 ,8 
sb-2t-FF75,11/4/2019 2:50,4375,48663,read_only,"4,159 ",20 ,"2,801 ",0 ,40 ,74 ,25 ,22 ,50 
sb-2t-FF75,11/4/2019 4:19,4375,48663,update_non_index,"57,901 ",3 ,"1,284 ",622 ,26 ,25 ,48 ,27 ,12 
sb-2t-FF75,11/4/2019 5:48,4375,48663,update_index,"20,375 ",9 ,786 ,702 ,28 ,19 ,62 ,16 ,7 
sb-2t-FF75,11/4/2019 7:17,4375,48663,point_select,"172,334 ",1 ,"2,532 ",0 ,24 ,53 ,31 ,43 ,24 
sb-2t-FF75,11/4/2019 8:44,4375,48663,read_write,"3,314 ",27 ,"2,639 ",313 ,37 ,50 ,48 ,28 ,22 
sb-2t-FF75,11/4/2019 10:12,4375,48663,write_only,"8,854 ",16 ,894 ,705 ,28 ,22 ,65 ,20 ,7 
sb-tpcc-700-FF100,11/1/2019 15:48,4375,48663,run,"3,182 ",87 ,595 ,849 ,26 ,24 ,69 ,22 ,3 
sb-tpcc-700-FF75,11/1/2019 19:10,4375,48663,run,"4,330 ",67 ,786 ,691 ,26 ,19 ,66 ,26 ,3 
sb-tpcc-1400-FF100,11/3/2019 17:50,4375,48663,run,"2,763 ",103 ,904 ,751 ,25 ,26 ,67 ,24 ,5 
sb-tpcc-1400-FF75,11/4/2019 16:30,4375,48663,run,"3,787 ",90 ,"1,133 ",614 ,25 ,23 ,62 ,28 ,5 
sb-600g-FF100,3/27/2020 10:07,4705,50772,read_only,"7,526 ",14 ,"2,686 ",0 ,36 ,49 ,48 ,29 ,21 
sb-600g-FF100,3/27/2020 11:07,4705,50772,update_non_index,"29,599 ",8 ,671 ,792 ,30 ,25 ,58 ,17 ,8 
sb-600g-FF100,3/27/2020 12:08,4705,50772,update_index,"23,244 ",9 ,576 ,836 ,29 ,25 ,59 ,16 ,7 
sb-600g-FF100,3/27/2020 13:08,4705,50772,point_select,"185,024 ",1 ,"2,718 ",0 ,35 ,64 ,30 ,35 ,33 
sb-600g-FF100,3/27/2020 14:08,4705,50772,read_write,"3,559 ",29 ,"1,773 ",540 ,34 ,36 ,60 ,25 ,12 
sb-600g-FF100,3/27/2020 15:08,4705,50772,write_only,"8,646 ",18 ,633 ,857 ,30 ,29 ,64 ,18 ,7 
sb-600G-FF75,3/27/2020 18:19,4705,50772,read_only,"6,126 ",16 ,"2,797 ",0 ,40 ,63 ,38 ,25 ,35 
sb-600G-FF75,3/27/2020 19:20,4705,50772,update_non_index,"60,357 ",3 ,"1,037 ",655 ,28 ,24 ,49 ,25 ,11 
sb-600G-FF75,3/27/2020 20:21,4705,50772,update_index,"22,265 ",9 ,474 ,763 ,28 ,18 ,62 ,14 ,6 
sb-600G-FF75,3/27/2020 21:22,4705,50772,point_select,"182,748 ",1 ,"2,669 ",0 ,34 ,56 ,30 ,35 ,33 
sb-600G-FF75,3/27/2020 22:22,4705,50772,read_write,"3,747 ",28 ,"2,158 ",405 ,36 ,43 ,54 ,26 ,18 
sb-600G-FF75,3/27/2020 23:23,4705,50772,write_only,"9,667 ",16 ,627 ,783 ,28 ,22 ,65 ,18 ,6 
sb-2t-FF100,3/28/2020 10:25,4705,50772,read_only,"4,758 ",18 ,"2,800 ",0 ,37 ,71 ,29 ,23 ,45 
sb-2t-FF100,3/28/2020 11:41,4705,50772,update_non_index,"19,346 ",11 ,738 ,851 ,32 ,29 ,58 ,17 ,10 
sb-2t-FF100,3/28/2020 12:57,4705,50772,update_index,"18,220 ",11 ,729 ,857 ,32 ,28 ,58 ,16 ,10 
sb-2t-FF100,3/28/2020 14:15,4705,50772,point_select,"154,162 ",1 ,"2,440 ",0 ,25 ,60 ,27 ,35 ,36 
sb-2t-FF100,3/28/2020 15:31,4705,50772,read_write,"2,713 ",36 ,"2,082 ",487 ,36 ,51 ,50 ,24 ,23 
sb-2t-FF100,3/28/2020 16:47,4705,50772,write_only,"6,442 ",23 ,760 ,877 ,33 ,31 ,63 ,18 ,10 
sb-2t-FF75,3/29/2020 1:40,4705,50772,read_only,"4,154 ",20 ,"2,799 ",0 ,40 ,73 ,24 ,21 ,51 
